img_path;description;label_id;label;split
fake/1.png;Giày Adidas Samba giả - hình 1;0;fake;val
fake/10.PNG;Giày Adidas Samba giả - hình 2;0;fake;train
fake/11.PNG;Giày Adidas Samba giả - hình 3;0;fake;train
fake/12#tongue.PNG;Giày Adidas Samba giả - hình 4;0;fake;train
fake/13#van de mau cua mui giay.PNG;Giày Adidas Samba giả - hình 5;0;fake;train
fake/14 #lông của mũi giày không xù lên (toecap).PNG;Giày Adidas Samba giả - hình 6;0;fake;train
fake/15 #3 sọc không xù như hàng chính phẩm.PNG;Giày Adidas Samba giả - hình 7;0;fake;train
fake/16 #đuôi (heel tab) nó ko xù như chính hãng.PNG;Giày Adidas Samba giả - hình 8;0;fake;train
fake/17#logo không bóng (tongue + logo trefoil thể hiện).PNG;Giày Adidas Samba giả - hình 9;0;fake;val
fake/18.PNG;Giày Adidas Samba giả - hình 10;0;fake;train
fake/19.PNG;Giày Adidas Samba giả - hình 11;0;fake;val
fake/2.PNG;Giày Adidas Samba giả - hình 12;0;fake;train
fake/20 #sai màu ở heel tab.PNG;Giày Adidas Samba giả - hình 13;0;fake;train
fake/21.PNG;Giày Adidas Samba giả - hình 14;0;fake;test
fake/22.PNG;Giày Adidas Samba giả - hình 15;0;fake;train
fake/23.PNG;Giày Adidas Samba giả - hình 16;0;fake;train
fake/24.PNG;Giày Adidas Samba giả - hình 17;0;fake;train
fake/25 #Đế đen đậm, đế thật màu nâu.PNG;Giày Adidas Samba giả - hình 18;0;fake;train
fake/26 #Hàng giả chữ SAMBA ko có độ bóng.PNG;Giày Adidas Samba giả - hình 19;0;fake;train
fake/27 #Hàng giả có đuôi chuôt chỗ toe cap.PNG;Giày Adidas Samba giả - hình 20;0;fake;train
fake/28 #heel tab có màu không phải trắng đen.PNG;Giày Adidas Samba giả - hình 21;0;fake;test
fake/29 #chữ SAMBA phải được khắc nổi.PNG;Giày Adidas Samba giả - hình 22;0;fake;train
fake/3.PNG;Giày Adidas Samba giả - hình 23;0;fake;train
fake/30.PNG;Giày Adidas Samba giả - hình 24;0;fake;train
fake/31.PNG;Giày Adidas Samba giả - hình 25;0;fake;train
fake/32.PNG;Giày Adidas Samba giả - hình 26;0;fake;train
fake/33.PNG;Giày Adidas Samba giả - hình 27;0;fake;test
fake/34.PNG;Giày Adidas Samba giả - hình 28;0;fake;train
fake/35.PNG;Giày Adidas Samba giả - hình 29;0;fake;train
fake/36.PNG;Giày Adidas Samba giả - hình 30;0;fake;train
fake/37.PNG;Giày Adidas Samba giả - hình 31;0;fake;train
fake/38.PNG;Giày Adidas Samba giả - hình 32;0;fake;train
fake/39.PNG;Giày Adidas Samba giả - hình 33;0;fake;train
fake/4.PNG;Giày Adidas Samba giả - hình 34;0;fake;val
fake/40.PNG;Giày Adidas Samba giả - hình 35;0;fake;train
fake/41.PNG;Giày Adidas Samba giả - hình 36;0;fake;test
fake/42.PNG;Giày Adidas Samba giả - hình 37;0;fake;train
fake/43.PNG;Giày Adidas Samba giả - hình 38;0;fake;train
fake/44.PNG;Giày Adidas Samba giả - hình 39;0;fake;train
fake/45.PNG;Giày Adidas Samba giả - hình 40;0;fake;test
fake/46.PNG;Giày Adidas Samba giả - hình 41;0;fake;train
fake/5.PNG;Giày Adidas Samba giả - hình 42;0;fake;train
fake/6.PNG;Giày Adidas Samba giả - hình 43;0;fake;train
fake/7.PNG;Giày Adidas Samba giả - hình 44;0;fake;val
fake/8.PNG;Giày Adidas Samba giả - hình 45;0;fake;test
fake/9.PNG;Giày Adidas Samba giả - hình 46;0;fake;train
fake/First-copy-Adidas-Samba-shoes-10.webp;Giày Adidas Samba giả - hình 47;0;fake;test
fake/First-copy-Adidas-Samba-shoes-17.webp;Giày Adidas Samba giả - hình 48;0;fake;train
fake/First-copy-Adidas-Samba-shoes-21-scaled-1.webp;Giày Adidas Samba giả - hình 49;0;fake;train
fake/WhatsApp-Image-2024-03-12-at-2.43.16-PM-2.webp;Giày Adidas Samba giả - hình 50;0;fake;train
fake/WhatsApp-Image-2024-03-12-at-2.43.16-PM-3.webp;Giày Adidas Samba giả - hình 51;0;fake;train
fake/WhatsApp-Image-2024-03-12-at-2.43.16-PM.webp;Giày Adidas Samba giả - hình 52;0;fake;train
fake/fake10.jpg;Giày Adidas Samba giả - hình 53;0;fake;train
fake/fake100.jpg;Giày Adidas Samba giả - hình 54;0;fake;train
fake/fake101.jpg;Giày Adidas Samba giả - hình 55;0;fake;val
fake/fake102.jpg;Giày Adidas Samba giả - hình 56;0;fake;val
fake/fake103.jpg;Giày Adidas Samba giả - hình 57;0;fake;train
fake/fake104.jpg;Giày Adidas Samba giả - hình 58;0;fake;train
fake/fake105.jpg;Giày Adidas Samba giả - hình 59;0;fake;train
fake/fake106.jpg;Giày Adidas Samba giả - hình 60;0;fake;train
fake/fake107.jpg;Giày Adidas Samba giả - hình 61;0;fake;train
fake/fake108.jpg;Giày Adidas Samba giả - hình 62;0;fake;test
fake/fake109.jpg;Giày Adidas Samba giả - hình 63;0;fake;test
fake/fake11.jpg;Giày Adidas Samba giả - hình 64;0;fake;test
fake/fake110.jpg;Giày Adidas Samba giả - hình 65;0;fake;train
fake/fake111.jpg;Giày Adidas Samba giả - hình 66;0;fake;train
fake/fake112.jpg;Giày Adidas Samba giả - hình 67;0;fake;train
fake/fake113.jpg;Giày Adidas Samba giả - hình 68;0;fake;train
fake/fake114.jpg;Giày Adidas Samba giả - hình 69;0;fake;train
fake/fake115.jpg;Giày Adidas Samba giả - hình 70;0;fake;train
fake/fake116.jpg;Giày Adidas Samba giả - hình 71;0;fake;train
fake/fake117.jpg;Giày Adidas Samba giả - hình 72;0;fake;train
fake/fake118.jpg;Giày Adidas Samba giả - hình 73;0;fake;train
fake/fake119.jpg;Giày Adidas Samba giả - hình 74;0;fake;train
fake/fake12.jpg;Giày Adidas Samba giả - hình 75;0;fake;train
fake/fake120.jpg;Giày Adidas Samba giả - hình 76;0;fake;train
fake/fake121.jpg;Giày Adidas Samba giả - hình 77;0;fake;train
fake/fake122.jpg;Giày Adidas Samba giả - hình 78;0;fake;train
fake/fake123.jpg;Giày Adidas Samba giả - hình 79;0;fake;train
fake/fake124.jpg;Giày Adidas Samba giả - hình 80;0;fake;train
fake/fake125.jpg;Giày Adidas Samba giả - hình 81;0;fake;train
fake/fake126.jpg;Giày Adidas Samba giả - hình 82;0;fake;train
fake/fake127.jpg;Giày Adidas Samba giả - hình 83;0;fake;train
fake/fake128.jpg;Giày Adidas Samba giả - hình 84;0;fake;train
fake/fake129.jpg;Giày Adidas Samba giả - hình 85;0;fake;test
fake/fake13.jpg;Giày Adidas Samba giả - hình 86;0;fake;train
fake/fake130.jpg;Giày Adidas Samba giả - hình 87;0;fake;train
fake/fake131.jpg;Giày Adidas Samba giả - hình 88;0;fake;train
fake/fake132.jpg;Giày Adidas Samba giả - hình 89;0;fake;train
fake/fake133.jpg;Giày Adidas Samba giả - hình 90;0;fake;train
fake/fake134.jpg;Giày Adidas Samba giả - hình 91;0;fake;train
fake/fake135.jpg;Giày Adidas Samba giả - hình 92;0;fake;test
fake/fake136.jpg;Giày Adidas Samba giả - hình 93;0;fake;test
fake/fake137.jpg;Giày Adidas Samba giả - hình 94;0;fake;val
fake/fake138.jpg;Giày Adidas Samba giả - hình 95;0;fake;train
fake/fake139.jpg;Giày Adidas Samba giả - hình 96;0;fake;train
fake/fake14.jpg;Giày Adidas Samba giả - hình 97;0;fake;train
fake/fake140.jpg;Giày Adidas Samba giả - hình 98;0;fake;train
fake/fake141.jpg;Giày Adidas Samba giả - hình 99;0;fake;train
fake/fake142.jpg;Giày Adidas Samba giả - hình 100;0;fake;test
fake/fake143.jpg;Giày Adidas Samba giả - hình 101;0;fake;val
fake/fake144.jpg;Giày Adidas Samba giả - hình 102;0;fake;test
fake/fake145.jpg;Giày Adidas Samba giả - hình 103;0;fake;val
fake/fake147.jpeg;Giày Adidas Samba giả - hình 104;0;fake;train
fake/fake148.jpeg;Giày Adidas Samba giả - hình 105;0;fake;test
